hatchery,wy,number_released
CNFH,2018,610939
MKFH,2018,54000
FRFH,2018,465000
MKFH,2018,90000
NMFH,2018,45000
CNFH,2019,608899
NMFH,2019,465000
FRFH,2019,476000
CNFH,2020,632751
FRFH,2020,430500
NMFH,2020,440500
MKFH,2020,170000
MKFH,2020,120000
MKFH,2020,60000
CNFH,2021,610645
NMFH,2021,424000
MKFH,2021,57056
FRFH,2021,475000
MKFH,2021,60000
MKFH,2021,50000
CNFH,2022,614702
NMFH,2022,447000
MKFH,2022,51381
FRFH,2022,408900
MKFH,2022,50500
MKFH,2022,51000
CNFH,2023,418738
MKFH,2023,63260
NMFH,2023,516000
MKFH,2023,75000
FRFH,2023,445000
MKFH,2023,75000
CNFH,2024,415500
NMFH,2024,516000
MKFH,2024,63260
FRFH,2024,445000
MKFH,2024,75000
